trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#MUNEVE,http://twitter.com/search?q=%23MUNEVE,%23MUNEVE,69280.0,2021-10-02 13:06:44.759519,Australia
#DanNext,http://twitter.com/search?q=%23DanNext,%23DanNext,32091.0,2021-10-02 13:06:44.759519,Australia
#RSAvNZL,http://twitter.com/search?q=%23RSAvNZL,%23RSAvNZL,11784.0,2021-10-02 13:06:44.759519,Australia
#nswpol,http://twitter.com/search?q=%23nswpol,%23nswpol,,2021-10-02 13:06:44.759519,Australia
#couchpeloton,http://twitter.com/search?q=%23couchpeloton,%23couchpeloton,,2021-10-02 13:06:44.759519,Australia
#2OutForaBolsonaro,http://twitter.com/search?q=%232OutForaBolsonaro,%232OutForaBolsonaro,33370.0,2021-10-02 13:06:44.759519,Brazil
#BTSat2021TMA,http://twitter.com/search?q=%23BTSat2021TMA,%23BTSat2021TMA,807088.0,2021-10-02 13:06:44.759519,Brazil
#TMA2021,http://twitter.com/search?q=%23TMA2021,%23TMA2021,201291.0,2021-10-02 13:06:44.759519,Brazil
#TMA2021,http://twitter.com/search?q=%23TMA2021,%23TMA2021,201291.0,2021-10-02 13:06:44.759519,Brazil
#ESPNnoStarPlus,http://twitter.com/search?q=%23ESPNnoStarPlus,%23ESPNnoStarPlus,,2021-10-02 13:06:44.759519,Brazil
#MUNEVE,http://twitter.com/search?q=%23MUNEVE,%23MUNEVE,69280.0,2021-10-02 13:06:44.759519,Canada
#ACToTheMagic,http://twitter.com/search?q=%23ACToTheMagic,%23ACToTheMagic,,2021-10-02 13:06:44.759519,Canada
#MUFC,http://twitter.com/search?q=%23MUFC,%23MUFC,92357.0,2021-10-02 13:06:44.759519,Canada
#SaturdayMorning,http://twitter.com/search?q=%23SaturdayMorning,%23SaturdayMorning,14358.0,2021-10-02 13:06:44.759519,Canada
#Caturday,http://twitter.com/search?q=%23Caturday,%23Caturday,11552.0,2021-10-02 13:06:44.759519,Canada
#MUNEVE,http://twitter.com/search?q=%23MUNEVE,%23MUNEVE,69061.0,2021-10-02 13:06:44.759519,France
#CampusMajo,http://twitter.com/search?q=%23CampusMajo,%23CampusMajo,,2021-10-02 13:06:44.759519,France
#TMA2021,http://twitter.com/search?q=%23TMA2021,%23TMA2021,201291.0,2021-10-02 13:06:44.759519,France
#beINLigue2,http://twitter.com/search?q=%23beINLigue2,%23beINLigue2,,2021-10-02 13:06:44.759519,France
#Manifs2octobre,http://twitter.com/search?q=%23Manifs2octobre,%23Manifs2octobre,21891.0,2021-10-02 13:06:44.759519,France
#BTSat2021TMA,http://twitter.com/search?q=%23BTSat2021TMA,%23BTSat2021TMA,807088.0,2021-10-02 13:06:44.759519,France
#ASCTFC,http://twitter.com/search?q=%23ASCTFC,%23ASCTFC,,2021-10-02 13:06:44.759519,France
#ATEEZxTMA,http://twitter.com/search?q=%23ATEEZxTMA,%23ATEEZxTMA,69948.0,2021-10-02 13:06:44.759519,France
#GiveawayAudi,http://twitter.com/search?q=%23GiveawayAudi,%23GiveawayAudi,,2021-10-02 13:06:44.759519,France
#RSAvNZL,http://twitter.com/search?q=%23RSAvNZL,%23RSAvNZL,11784.0,2021-10-02 13:06:44.759519,France
#pompiers,http://twitter.com/search?q=%23pompiers,%23pompiers,,2021-10-02 13:06:44.759519,France
#betze,http://twitter.com/search?q=%23betze,%23betze,,2021-10-02 13:06:44.759519,Germany
#comedypreis,http://twitter.com/search?q=%23comedypreis,%23comedypreis,,2021-10-02 13:06:44.759519,Germany
#MUNEVE,http://twitter.com/search?q=%23MUNEVE,%23MUNEVE,69061.0,2021-10-02 13:06:44.759519,Germany
#Polizei110,http://twitter.com/search?q=%23Polizei110,%23Polizei110,,2021-10-02 13:06:44.759519,Germany
#F95SCP,http://twitter.com/search?q=%23F95SCP,%23F95SCP,,2021-10-02 13:06:44.759519,Germany
#MIvsDC,http://twitter.com/search?q=%23MIvsDC,%23MIvsDC,,2021-10-02 13:06:44.759519,India
#MUNEVE,http://twitter.com/search?q=%23MUNEVE,%23MUNEVE,69280.0,2021-10-02 13:06:44.759519,India
#RRROnJan7th,http://twitter.com/search?q=%23RRROnJan7th,%23RRROnJan7th,45761.0,2021-10-02 13:06:44.759519,India
#WithPK,http://twitter.com/search?q=%23WithPK,%23WithPK,14330.0,2021-10-02 13:06:44.759519,India
#RRRMovie,http://twitter.com/search?q=%23RRRMovie,%23RRRMovie,76643.0,2021-10-02 13:06:44.759519,India
#ChaySam,http://twitter.com/search?q=%23ChaySam,%23ChaySam,,2021-10-02 13:06:44.759519,India
#RRRMoive,http://twitter.com/search?q=%23RRRMoive,%23RRRMoive,,2021-10-02 13:06:44.759519,India
#komarambheemntr,http://twitter.com/search?q=%23komarambheemntr,%23komarambheemntr,25349.0,2021-10-02 13:06:44.759519,India
#DCvsMI,http://twitter.com/search?q=%23DCvsMI,%23DCvsMI,,2021-10-02 13:06:44.759519,India
#Samantha,http://twitter.com/search?q=%23Samantha,%23Samantha,,2021-10-02 13:06:44.759519,India
#GandhiJayanti,http://twitter.com/search?q=%23GandhiJayanti,%23GandhiJayanti,250660.0,2021-10-02 13:06:44.759519,India
#2ottobre,http://twitter.com/search?q=%232ottobre,%232ottobre,,2021-10-02 13:06:44.759519,Italy
#festadeinonni,http://twitter.com/search?q=%23festadeinonni,%23festadeinonni,,2021-10-02 13:06:44.759519,Italy
#FratellidItalia,http://twitter.com/search?q=%23FratellidItalia,%23FratellidItalia,11281.0,2021-10-02 13:06:44.759519,Italy
#scenedaunmatrimonio,http://twitter.com/search?q=%23scenedaunmatrimonio,%23scenedaunmatrimonio,,2021-10-02 13:06:44.759519,Italy
#FanPage,http://twitter.com/search?q=%23FanPage,%23FanPage,,2021-10-02 13:06:44.759519,Italy
#inktober2021,http://twitter.com/search?q=%23inktober2021,%23inktober2021,48751.0,2021-10-02 13:06:44.759519,Ukraine
#Rihanna,http://twitter.com/search?q=%23Rihanna,%23Rihanna,,2021-10-02 13:06:44.759519,Ukraine
#BTSat2021TMA,http://twitter.com/search?q=%23BTSat2021TMA,%23BTSat2021TMA,807088.0,2021-10-02 13:06:44.759519,Ukraine
