trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#AFLLionsDogs,http://twitter.com/search?q=%23AFLLionsDogs,%23AFLLionsDogs,,2021-09-04 12:15:49.857527,Australia
#AFLFinals,http://twitter.com/search?q=%23AFLFinals,%23AFLFinals,,2021-09-04 12:15:49.857527,Australia
#NRLSouthsDragons,http://twitter.com/search?q=%23NRLSouthsDragons,%23NRLSouthsDragons,,2021-09-04 12:15:49.857527,Australia
Bailey Smith,http://twitter.com/search?q=%22Bailey+Smith%22,%22Bailey+Smith%22,,2021-09-04 12:15:49.857527,Australia
Corey Norman,http://twitter.com/search?q=%22Corey+Norman%22,%22Corey+Norman%22,,2021-09-04 12:15:49.857527,Australia
Bont,http://twitter.com/search?q=Bont,Bont,,2021-09-04 12:15:49.857527,Australia
Doggies,http://twitter.com/search?q=Doggies,Doggies,,2021-09-04 12:15:49.857527,Australia
Luke Darcy,http://twitter.com/search?q=%22Luke+Darcy%22,%22Luke+Darcy%22,,2021-09-04 12:15:49.857527,Australia
#NRLCowboysManly,http://twitter.com/search?q=%23NRLCowboysManly,%23NRLCowboysManly,,2021-09-04 12:15:49.857527,Australia
#redv,http://twitter.com/search?q=%23redv,%23redv,,2021-09-04 12:15:49.857527,Australia
Umpires,http://twitter.com/search?q=Umpires,Umpires,,2021-09-04 12:15:49.857527,Australia
Carrick,http://twitter.com/search?q=Carrick,Carrick,,2021-09-04 12:15:49.857527,Australia
Charlie Cameron,http://twitter.com/search?q=%22Charlie+Cameron%22,%22Charlie+Cameron%22,,2021-09-04 12:15:49.857527,Australia
Treloar,http://twitter.com/search?q=Treloar,Treloar,,2021-09-04 12:15:49.857527,Australia
Cody Weightman,http://twitter.com/search?q=%22Cody+Weightman%22,%22Cody+Weightman%22,,2021-09-04 12:15:49.857527,Australia
Gabba,http://twitter.com/search?q=Gabba,Gabba,,2021-09-04 12:15:49.857527,Australia
daniher,http://twitter.com/search?q=daniher,daniher,,2021-09-04 12:15:49.857527,Australia
Neil Young,http://twitter.com/search?q=%22Neil+Young%22,%22Neil+Young%22,,2021-09-04 12:15:49.857527,Australia
Caleb Daniel,http://twitter.com/search?q=%22Caleb+Daniel%22,%22Caleb+Daniel%22,,2021-09-04 12:15:49.857527,Australia
Harris Andrews,http://twitter.com/search?q=%22Harris+Andrews%22,%22Harris+Andrews%22,,2021-09-04 12:15:49.857527,Australia
Tommy Turbo,http://twitter.com/search?q=%22Tommy+Turbo%22,%22Tommy+Turbo%22,,2021-09-04 12:15:49.857527,Australia
Father's Day,http://twitter.com/search?q=%22Father%27s+Day%22,%22Father%27s+Day%22,,2021-09-04 12:15:49.857527,Australia
Brisbane,http://twitter.com/search?q=Brisbane,Brisbane,,2021-09-04 12:15:49.857527,Australia
Macrae,http://twitter.com/search?q=Macrae,Macrae,,2021-09-04 12:15:49.857527,Australia
Libba,http://twitter.com/search?q=Libba,Libba,,2021-09-04 12:15:49.857527,Australia
Tom Trbojevic,http://twitter.com/search?q=%22Tom+Trbojevic%22,%22Tom+Trbojevic%22,,2021-09-04 12:15:49.857527,Australia
Saab,http://twitter.com/search?q=Saab,Saab,23686.0,2021-09-04 12:15:49.857527,Australia
tina,http://twitter.com/search?q=tina,tina,33592.0,2021-09-04 12:15:49.857527,Australia
Selwood,http://twitter.com/search?q=Selwood,Selwood,,2021-09-04 12:15:49.857527,Australia
Broncos,http://twitter.com/search?q=Broncos,Broncos,,2021-09-04 12:15:49.857527,Australia
Karl,http://twitter.com/search?q=Karl,Karl,37482.0,2021-09-04 12:15:49.857527,Australia
Dylan,http://twitter.com/search?q=Dylan,Dylan,31819.0,2021-09-04 12:15:49.857527,Australia
Knights,http://twitter.com/search?q=Knights,Knights,22289.0,2021-09-04 12:15:49.857527,Australia
Zaaki,http://twitter.com/search?q=Zaaki,Zaaki,,2021-09-04 12:15:49.857527,Australia
#MightyWest,http://twitter.com/search?q=%23MightyWest,%23MightyWest,,2021-09-04 12:15:49.857527,Australia
#GoRabbitohs,http://twitter.com/search?q=%23GoRabbitohs,%23GoRabbitohs,,2021-09-04 12:15:49.857527,Australia
#Uncaged,http://twitter.com/search?q=%23Uncaged,%23Uncaged,,2021-09-04 12:15:49.857527,Australia
#YieldToNone,http://twitter.com/search?q=%23YieldToNone,%23YieldToNone,,2021-09-04 12:15:49.857527,Australia
